Ostrov;Abertamy;772
České Budějovice;Adamov;742
Blansko;Adamov;3747
Čáslav;Adamov;108
Broumov;Adršpach;413
Havířov;Albrechtice;3317
Lanškroun;Albrechtice;379
Kostelec nad Orlicí;Albrechtice nad Orlicí;829
Písek;Albrechtice nad Vltavou;767
Tanvald;Albrechtice v Jizerských horách;288
Bílovec;Albrechtičky;607
Prostějov;Alojzov;210
Karlovy Vary;Andělská Hora;300
Bruntál;Andělská Hora;328
Lanškroun;Anenská Studánka;152
Kyjov;Archlebov;762
Pelhřimov;Arneštovice;72
Jihlava;Arnolec;137
Děčín;Arnoltice;355
Aš;Aš;10221
Prachatice;Babice;96
Moravské Budějovice;Babice;169
Nový Bydžov;Babice;168
Šternberk;Babice;387
Říčany;Babice;858
Uherské Hradiště;Babice;1524
Šlapanice;Babice nad Svitavou;1026
Rosice;Babice u Rosic;610
Domažlice;Babylon;255
Pelhřimov;Bácovice;77
Jičín;Bačalky;143
Dobruška;Bačetín;341
Třebíč;Bačice;164
Havlíčkův Brod;Bačkov;108
Moravské Budějovice;Bačkovice;89
Mladá Boleslav;Bakov nad Jizerou;4082
Velké Meziříčí;Baliny;105
Tábor;Balkova Lhota;112
Svitavy;Banín;263
Uherský Brod;Bánov;1790
Dačice;Báňovice;95
Znojmo;Bantice;238
Nový Bydžov;Barchov;228
Pardubice;Barchov;218
Kolín;Barchovice;203
Nový Jičín;Bartošovice;1449
Rychnov nad Kněžnou;Bartošovice v Orlických horách;170
Havlíčkův Brod;Bartoušov;143
Kroměříž;Bařice-Velké Těšany;389
Frýdek-Místek;Baška;3322
Hořice;Bašnice;173
Brandýs nad Labem-Stará Boleslav;Bašť;1638
Jihlava;Batelov;1997
Trutnov;Batňovice;651
Vodňany;Bavorov;1364
Mikulov;Bavory;341
Beroun;Bavoryně;265
Nýřany;Bdeněves;590
Rakovník;Bdín;53
Tábor;Bečice;65
Týn nad Vltavou;Bečice;91
Most;Bečov;1280
Karlovy Vary;Bečov nad Teplou;823
Kolín;Bečváry;866
Prostějov;Bedihošť;879
Jindřichův Hradec;Bednárec;96
Jindřichův Hradec;Bednáreček;161
Boskovice;Bedřichov;197
Jablonec nad Nisou;Bedřichov;290
Klatovy;Běhařov;150
Znojmo;Běhařovice;325
Jičín;Běchary;226
Roudnice nad Labem;Bechlín;1041
Tábor;Bechyně;4307
